Country,Region,RegionType
FR,Charente,departement
FR,Charente-Maritime,departement
FR,Corrèze,departement
FR,Creuse,departement
FR,Dordogne,departement
FR,Gironde,departement
FR,Landes,departement
FR,Lot-et-Garonne,departement
FR,Pyrénées-Atlantiques,departement
FR,Deux-Sèvres,departement
FR,Vienne,departement
FR,Haute-Vienne,departement
FR,France,pays
FR,Île-de-France,region
FR,Nouvelle-Aquitaine,region
FR,Monde,monde
FR,Hérault,departement
FR,Haute-Savoie,departement
FR,Auvergne-Rhône-Alpes,region
FR,Bourgogne-Franche-Comté,region
FR,Aisne,departement
FR,Doubs,departement
FR,Nord,departement
FR,Oise,departement
FR,Pas-de-Calais,departement
FR,Somme,departement
FR,Territoire de Belfort,departement
FR,Hauts-de-France,region
FR,Grand Est,region
FR,Côte-d'Or,departement
FR,Finistère,departement
FR,Loire-Atlantique,departement
FR,Bas-Rhin,departement
FR,Alpes-Maritimes,departement
FR,Maine-et-Loire,departement
FR,Mayenne,departement
FR,Seine-Maritime,departement
FR,Guadeloupe,region
FR,Martinique,region
FR,Guyane,region
FR,La Réunion,region
FR,Mayotte,region
FR,Centre-Val de Loire,region
FR,Normandie,region
FR,Pays de la Loire,region
FR,Bretagne,region
FR,Occitanie,region
FR,Provence-Alpes-Côte d'Azur,region
FR,Corse,region
FR,Ille-et-Vilaine,departement
FR,Saint-Barthélemy,collectivite-outremer
FR,Saint-Martin,collectivite-outremer
FR,Morbihan,departement
FR,Sarthe,departement
FR,Ain,departement
FR,Ardennes,departement
FR,Aube,departement
FR,Eure,departement
FR,Marne,departement
FR,Haute-Marne,departement
FR,Meurthe-et-Moselle,departement
FR,Meuse,departement
FR,Moselle,departement
FR,Haut-Rhin,departement
FR,Rhône,departement
FR,Vosges,departement
FR,Allier,departement
FR,Ardèche,departement
FR,Cantal,departement
FR,Drôme,departement
FR,Gard,departement
FR,Isère,departement
FR,Loire,departement
FR,Haute-Loire,departement
FR,Puy-de-Dôme,departement
FR,Saône-et-Loire,departement
FR,Savoie,departement
FR,Aveyron,departement
FR,Bouches-du-Rhône,departement
FR,Côtes-d'Armor,departement
FR,Eure-et-Loir,departement
FR,Indre-et-Loire,departement
FR,Haute-Saône,departement
FR,Vaucluse,departement
FR,Guyane,departement
FR,Hautes-Alpes,departement
FR,Calvados,departement
FR,Cher,departement
FR,Corse-du-Sud,departement
FR,Haute-Corse,departement
FR,Haute-Garonne,departement
FR,Indre,departement
FR,Loir-et-Cher,departement
FR,Loiret,departement
FR,Manche,departement
FR,Paris,departement
FR,Seine-et-Marne,departement
FR,Yvelines,departement
FR,Var,departement
FR,Essonne,departement
FR,Hauts-de-Seine,departement
FR,Seine-Saint-Denis,departement
FR,Val-de-Marne,departement
FR,Val-d'Oise,departement
FR,Martinique,departement
FR,Jura,departement
FR,Lot,departement
FR,Tarn,departement
FR,Tarn-et-Garonne,departement
FR,Vendée,departement
FR,Yonne,departement
FR,Aude,departement
FR,Nièvre,departement
FR,Orne,departement
FR,Alpes-de-Haute-Provence,departement
FR,Gers,departement
